,Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
63,death_of_ase.tripod.com,0,0,/dt/twisteddesire.html,0,http,0,2,0,0,0,0,0,0,0,0,1
64,www.orchidveil.net,0,0,/trapdoor/,0,http,0,0,0,0,0,0,0,0,0,0,1
65,www.geocities.com,0,0,/roryheadmav/main.html,0,http,0,2,0,2,0,2,0,0,0,0,2
66,www.angelfire.com,0,0,/anime4/wildefyre/,0,http,0,0,0,0,0,0,0,0,0,0,0
67,www.yaoiluvr.net,0,0,NA,0,http,0,0,0,1,1,1,0,0,1,0,1
68,www.angelfire.com,0,0,/goth2/azrael/,0,http,0,0,0,0,0,0,0,0,0,0,0
69,m.webring.com,0,0,/hub,0,http,0,0,0,0,0,0,0,0,0,0,2
70,onami.free.fr,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
71,www.geocities.com,0,0,/obsidianblaze/,0,http,0,0,0,2,0,2,0,0,0,0,2
72,p080.ezboard.com,0,0,/badragonballyaoirpg,0,http,0,0,0,0,0,0,0,0,1,0,2
73,www.pureyaoi.org,0,0,/,0,http,0,0,0,1,0,1,0,0,1,0,1
74,www.gaytoon-japan.com,0,0,NA,1,http,0,0,0,0,0,1,0,0,0,0,2
75,www.clubclassic.net,0,0,/yaoi.html,0,http,0,2,0,0,0,1,0,0,0,0,2
76,www.geocities.com,0,0,/apple_toh/index.html,0,http,0,2,0,2,0,2,0,0,0,0,2
77,www.gongaga.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
78,www.angelfire.com,0,0,/goth/doujinshi_rapture/,0,http,0,0,0,0,0,0,0,0,0,0,0
79,geocities.com,0,0,/plugplaymanga/,0,http,0,0,0,2,0,2,0,0,0,0,2
80,www.kinu-sekigushi.com,0,0,/,1,http,0,0,0,0,0,1,0,0,0,0,1
81,www.geocities.com,0,0,/can_it_be_sin/index_2.html,0,http,0,2,0,2,0,2,0,0,0,0,2
82,community.livejournal.com,0,0,/jrockyaoi/,0,http,0,0,0,0,0,1,0,0,0,0,2
83,arachnoid.reverie-noire.com,0,0,/,1,http,0,0,0,0,0,1,0,0,1,0,1
84,totchi.tripod.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,1
85,home.arcor.de,0,0,/jrock-yaoi/index2.htm,0,http,0,2,0,1,0,1,0,0,0,0,0
86,www.dtwins.co.uk,0,0,/jfic/efiction30/index.php,0,http,0,1,0,0,0,1,0,0,0,0,1
87,members.tripod.com,0,0,/starchan/,0,http,0,0,0,0,0,0,0,0,0,0,0
88,www.geocities.com,0,0,/hushie_hush/,0,http,0,0,0,2,0,2,0,0,0,0,2
89,www.cursedmoons.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
90,www.worldshaking.net,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
91,www.shoujoai.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
92,www.angelfire.com,0,0,/anime2/yurifics/index.html,0,http,0,2,0,0,0,0,0,0,0,0,0
93,groups.yahoo.com,0,0,/group/lilypetalsandfallendewdrops/,0,http,0,0,2,2,0,2,0,0,0,0,0
94,www.privateholes.com,0,0,/anime/anime-sex/index6.html,0,http,0,2,2,0,0,1,0,0,0,0,2
95,www.privateholes.com,0,0,/anime/anime-asia/index6.html,0,http,0,2,2,0,0,1,0,0,0,0,2
96,www.anime-hentai-cartoons.com,0,0,/,1,http,0,0,0,1,1,1,0,0,1,0,1
97,idd00788.eresmas.net,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
98,www.applicot.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,1,2
